X,Y,time
-0.1341,-0.258,0.0109397
-0.1339,-0.2609,0.0224711
-0.1333,-0.2639,0.0335032
-0.1328,-0.266,0.044874
-0.1312,-0.2675,0.055525
-0.1299,-0.2683,0.0670392
-0.1286,-0.2691,0.0786031
-0.1271,-0.2696,0.0894919
-0.1253,-0.2703,0.1002102
-0.1242,-0.2714,0.1117485
-0.1232,-0.2735,0.1218422
-0.1224,-0.2753,0.1334909
-0.1224,-0.2779,0.1445602
-0.1225,-0.2805,0.1566655
-0.1225,-0.2826,0.1669911
-0.1215,-0.2842,0.1786038
-0.1196,-0.2844,0.1901278
-0.1178,-0.2842,0.2013446
-0.1157,-0.2831,0.2124409
-0.1134,-0.2813,0.2235737
-0.1108,-0.2797,0.2349032
-0.1085,-0.2779,0.2460712
-0.1052,-0.2762,0.2570325
-0.1021,-0.2752,0.2675504
-0.0985,-0.2747,0.2792848
-0.0949,-0.2748,0.2905366
-0.0903,-0.2759,0.3012684
-0.0861,-0.2775,0.312439
-0.0828,-0.2809,0.3238548
-0.0796,-0.286,0.3353846
-0.0754,-0.2946,0.3459625
-0.072,-0.3056,0.3574988
-0.0688,-0.3189,0.3686011
-0.0665,-0.3351,0.3797265
-0.0639,-0.3537,0.3907863
-0.0618,-0.3729,0.4022979
-0.0598,-0.3917,0.412816
-0.0583,-0.4104,0.4238565
-0.0568,-0.4287,0.4355334
-0.0553,-0.4469,0.4463282
-0.054,-0.4647,0.4577996
-0.0524,-0.4823,0.4694881
-0.0511,-0.4994,0.4802412
-0.0492,-0.516,0.4918225
-0.0465,-0.5323,0.5023688
-0.0442,-0.5479,0.5137704
-0.0416,-0.5628,0.5249752
-0.0384,-0.5777,0.5359372
-0.0351,-0.5915,0.5471143
-0.0325,-0.605,0.5586342
-0.0297,-0.6173,0.5696143
-0.028,-0.6297,0.580921
-0.0259,-0.6412,0.5919408
-0.0249,-0.6527,0.6024838
-0.0236,-0.6639,0.6145558
-0.0218,-0.6746,0.6246577
-0.0193,-0.6855,0.6368108
-0.0156,-0.6959,0.6471215
-0.0113,-0.705,0.6586536
-0.0066,-0.7124,0.6699039
-0.002,-0.7173,0.6814328
0.0031,-0.7186,0.6916842
0.008,-0.7161,0.7029046
0.0157,-0.706,0.7144546
0.0258,-0.6868,0.7255323
0.0387,-0.6581,0.736818
0.055,-0.6161,0.7476086
0.075,-0.558,0.759504
0.0983,-0.4831,0.7700527
0.1263,-0.3888,0.781571
0.1526,-0.2674,0.792651
0.1829,-0.1275,0.8037098
0.2148,0.0311,0.815123
0.2491,0.2061,0.8256624
0.2852,0.3974,0.837027
0.3232,0.6017,0.8486048
0.3618,0.8182,0.8599129
0.4008,1.0443,0.8704675
0.4392,1.2796,0.8818085
0.4846,1.5283,0.8928599
0.5283,1.7803,0.9038939
0.57,2.0341,0.9154137
0.6095,2.288,0.9265038
0.6471,2.5402,0.9376724
0.6781,2.7947,0.9487703
0.7068,3.0432,0.9601591
0.7337,3.284,0.9716828
0.7595,3.5164,0.9823721
0.7831,3.7392,0.9935001
0.8053,3.9528,1.0050874
0.8264,4.1566,1.0155142
0.8458,4.3499,1.0270212
0.8653,4.5332,1.038598
0.8818,4.707,1.0496284
0.8976,4.8711,1.0606658
0.9133,5.0246,1.0719217
0.9256,5.1675,1.0834549
0.9356,5.2996,1.0937765
0.9427,5.4215,1.1052904
0.9484,5.5345,1.1169196
0.9518,5.639,1.1274333
0.9549,5.7359,1.1387061
0.9567,5.827,1.1495356
0.9579,5.9131,1.16105
0.9578,5.9944,1.1725737
0.957,6.0717,1.1836707
0.9557,6.1463,1.19459
0.9548,6.2188,1.2057045
0.9551,6.2893,1.2169743
0.9574,6.3584,1.227492
0.9622,6.4263,1.2387432
0.9686,6.4973,1.2506702
0.9744,6.5681,1.2610389
0.9779,6.6388,1.2727892
0.9794,6.709,1.2838582
0.9793,6.7773,1.2945727
0.9789,6.8428,1.3058582
0.9772,6.9054,1.3178824
0.9741,6.9647,1.3286964
0.9701,7.0211,1.3393953
0.9639,7.0759,1.3506483
0.9559,7.128,1.3616865
0.9452,7.1776,1.3728805
0.9317,7.2245,1.3844112
0.9149,7.2677,1.3956248
0.8949,7.3078,1.40691
0.8738,7.3447,1.4174422
0.851,7.3781,1.4294881
0.8261,7.4048,1.4405795
0.8002,7.4271,1.4516171
0.7732,7.4445,1.4619898
0.745,7.4576,1.4735094
0.717,7.467,1.4845698
0.6901,7.4721,1.4955915
0.6643,7.4743,1.5075854
0.6407,7.4745,1.5184326
0.6184,7.4718,1.5295629
0.5982,7.4655,1.5406236
0.5784,7.4568,1.5519163
0.5584,7.4472,1.562487
0.5382,7.4353,1.5737678
0.5183,7.4233,1.585854
0.4983,7.4125,1.5959348
0.4792,7.4017,1.6074492
0.4586,7.3924,1.6185342
0.44,7.3845,1.6297985
0.4215,7.3783,1.6410011
0.4031,7.3728,1.6526656
0.3841,7.3686,1.663634
0.3641,7.3654,1.67474
0.3428,7.3634,1.6860111
0.3209,7.3636,1.6965318
0.2976,7.3659,1.7085907
0.2743,7.3711,1.7187327
0.251,7.3771,1.7304262
0.2279,7.3855,1.7412923
0.2052,7.395,1.7528893
0.1837,7.4059,1.763413
0.1633,7.4178,1.7747948
0.1426,7.4313,1.7859995
0.1211,7.4457,1.7975054
0.0982,7.4591,1.8085483
0.0737,7.4724,1.8197261
0.0462,7.486,1.8308163
0.0176,7.4987,1.8423271
-0.011,7.51,1.8534971
-0.039,7.5192,1.8646628
-0.0654,7.5257,1.8757931
-0.0908,7.528,1.8868841
-0.1165,7.5282,1.8974189
-0.1421,7.5261,1.9084998
-0.1674,7.5219,1.9203915
-0.1924,7.516,1.9309198
-0.2166,7.5082,1.9424426
-0.2383,7.5,1.9532958
-0.2594,7.4907,1.9652095
-0.2776,7.4818,1.9757475
-0.2948,7.4725,1.987008
-0.3113,7.4626,1.9986479
-0.326,7.4536,2.009395
-0.3402,7.4457,2.0205641
-0.3525,7.4394,2.0316484
-0.3639,7.4344,2.042718
-0.3744,7.4297,2.0537729
-0.3844,7.4259,2.0658821
-0.3939,7.4215,2.0764052
-0.4018,7.417,2.0876987
-0.41,7.4127,2.0985335
-0.4179,7.4075,2.1103786
-0.4258,7.4016,2.1216325
-0.4329,7.3938,2.1326881
-0.44,7.3835,2.1438612
-0.4478,7.3696,2.1547715
-0.4553,7.3537,2.1654708
-0.4621,7.336,2.1767716
-0.4694,7.3164,2.1871826
-0.4768,7.2961,2.1992135
-0.4843,7.2755,2.2107328
-0.4918,7.2539,2.2219331
-0.4997,7.2318,2.2324553
-0.5076,7.2097,2.2437857
-0.5147,7.1881,2.2548118
