X,Y,time,,,,
-3.3598,-0.1713,0.0109987,,,,
-3.3181,-0.1737,0.0229992,,,,
-3.2822,-0.1756,0.0349994,,,,
-3.2417,-0.1716,0.0469991,,,,
-3.2092,-0.1779,0.0589988,,,,
-3.1697,-0.1843,0.0709988,,,,
-3.1248,-0.1907,0.0830007,,,,
-3.085,-0.1986,0.0949988,,,,
-3.0517,-0.2065,0.1069986,,,,
-3.0235,-0.2128,0.1189983,,,,
-2.9914,-0.2212,0.1309986,,,,
-2.9739,-0.2205,0.1429987,,,,
-2.9625,-0.2189,0.1549989,,,,
-2.9516,-0.2181,0.1669985,,,,
-2.9381,-0.2184,0.1789989,,,,
-2.9216,-0.2192,0.1909989,,,,
-2.9013,-0.2205,0.2029987,,,,
-2.8789,-0.2203,0.2149996,,,,
-2.8614,-0.2184,0.2269992,,,,
-2.8459,-0.2203,0.2389989,,,,
-2.8252,-0.2197,0.2509984,,,,
-2.8058,-0.221,0.2629986,,,,
-2.785,-0.2229,0.2749993,,,,
-2.7621,-0.2263,0.2869985,,,,
-2.7495,-0.2269,0.2989985,,,,
-2.7358,-0.2285,0.310999,,,,
-2.7192,-0.2266,0.3229998,,,,
-2.7063,-0.2277,0.3349988,,,,
-2.6935,-0.2284,0.3469995,,,,
-2.6772,-0.2287,0.3589996,,,,
-2.6574,-0.2295,0.3699995,,,,
-2.6358,-0.2313,0.3819987,,,,
-2.6119,-0.2332,0.3939984,,,,
-2.5914,-0.2353,0.4059987,,,,
-2.5774,-0.2403,0.4179987,,,,
-2.5699,-0.2459,0.4299989,,,,
-2.5665,-0.2535,0.4419992,,,,
-2.5733,-0.2582,0.4539985,,,,
-2.5817,-0.2617,0.4659984,,,,
-2.5875,-0.2617,0.4779985,,,,
-2.5908,-0.2617,0.4899991,,,,
-2.5919,-0.2625,0.5019986,,,,
-2.5931,-0.2614,0.5139987,,,,
-2.5911,-0.2606,0.5259987,,,,
-2.585,-0.258,0.5379986,,,,
-2.5733,-0.254,0.5499987,,,,
-2.5559,-0.2522,0.561999,,,,
-2.5344,-0.2525,0.5739986,,,,
-2.5105,-0.2535,0.5859998,,,,
-2.4887,-0.2531,0.5979995,,,,
-2.4572,-0.2589,0.6099997,,,,
-2.4279,-0.2631,0.6219991,,,,
-2.3942,-0.2647,0.633999,,,,
-2.3428,-0.258,0.6459995,,,,
-2.3009,-0.261,0.657999,,,,
-2.2638,-0.2631,0.6699989,,,,
-2.2347,-0.2597,0.6819994,,,,
-2.2199,-0.2607,0.6939986,,,,
-2.205,-0.2617,0.7059995,,,,
-2.1895,-0.2637,0.7179996,,,,
-2.1743,-0.2663,0.7289988,,,,
-2.1581,-0.2682,0.7409988,,,,
-2.14,-0.2714,0.7529989,,,,
-2.115,-0.2816,0.7649981,,,,
-2.0996,-0.286,0.777,,,,
-2.093,-0.2866,0.7889992,,,,
-2.0871,-0.2879,0.8009997,,,,
-2.076,-0.2887,0.8129997,,,,
-2.058,-0.2901,0.8249993,,,,
-2.0335,-0.2928,0.8369998,,,,
-2.0012,-0.2881,0.8489989,,,,
-1.9768,-0.2902,0.8609994,,,,
-1.9504,-0.2939,0.8729994,,,,
-1.9226,-0.2984,0.8849991,,,,
-1.897,-0.3005,0.8969988,,,,
